"","JLKMOVE","JHSPRBQ","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JLFSATO"
"9197",NA,NA,NA,NA,NA,NA,NA,NA
"9198",NA,1,"NO",1,"YES",NA,1,3
"9199",2,1,"NO",1,"YES",NA,1,3
"9200",1,2,"YES",NA,"YES",NA,1,5
"9201",1,2,"YES",NA,"YES",NA,1,6
"9202",1,2,"NO",1,"YES",NA,2,4
"9203",NA,2,"YES",NA,"YES",NA,1,6
"9204",1,2,"YES",NA,"YES",NA,1,5
"9205",NA,2,"YES",NA,"YES",NA,1,5
"9206",1,2,"YES",NA,"YES",NA,1,6
"9207",1,2,"NO",2,"YES",NA,1,6
"9208",1,2,NA,NA,"YES",NA,1,5
"9209",1,2,"NO",1,"NO",1,2,4
"9210",1,2,"NO",1,"NO",1,2,2
"9211",1,2,"YES",NA,"YES",NA,1,NA
"9212",1,2,"YES",NA,"YES",NA,1,5
"9213",1,1,"NO",1,"NO",1,2,4
"9214",1,1,"NO",1,"NO",1,2,5
"9215",2,2,"YES",NA,"YES",NA,1,4
"9216",1,2,"YES",NA,"YES",NA,1,7
"9217",1,1,"NO",1,"NO",1,2,3
"9218",1,1,"NO",1,"NO",1,2,2
"9219",1,2,"NO",2,"YES",NA,1,6
"9220",1,2,"NO",2,"YES",NA,1,5
"9221",2,2,"NO",2,"YES",NA,1,4
"9222",1,2,"YES",NA,"YES",NA,2,5
"9223",1,2,"YES",NA,"YES",NA,2,6
"9224",2,2,"NO",1,"YES",NA,2,4
"9225",1,2,"NO",2,"YES",NA,1,5
"9226",1,2,"NO",1,"NO",1,2,5
"9227",1,2,"NO",1,"NO",1,2,6
"9228",1,2,"YES",NA,"YES",NA,2,7
"9229",1,2,"YES",NA,"YES",NA,1,5
"9230",1,2,"NO",1,"YES",NA,1,2
"9231",2,1,"NO",1,"YES",NA,2,4
"9232",2,1,"NO",1,"YES",NA,2,2
"9233",1,2,"YES",NA,"YES",NA,1,5
"9234",1,2,"YES",NA,"YES",NA,1,5
"9235",2,2,"YES",NA,"NO",2,1,3
"9236",2,2,"YES",NA,"NO",2,1,4
"9237",1,2,"YES",NA,"NO",2,1,6
"9238",2,2,"NO",1,"YES",NA,2,1
"9239",2,2,"NO",1,"YES",NA,2,2
"9240",1,1,"YES",NA,"YES",NA,1,7
"9241",NA,1,"YES",NA,"YES",NA,1,6
"9242",1,2,"YES",NA,"YES",NA,2,7
"9243",2,1,"NO",1,"YES",NA,1,4
"9244",1,1,"YES",NA,"YES",NA,1,6
"9245",NA,NA,NA,NA,NA,NA,NA,NA
"9246",1,2,"YES",NA,"YES",NA,2,5
"9247",2,2,"NO",1,"YES",NA,1,3
"9248",1,2,"YES",NA,"YES",NA,1,7
"9249",2,1,"YES",NA,"YES",NA,1,5
"9250",2,1,"YES",NA,"YES",NA,1,7
"9251",1,1,"NO",1,"YES",NA,2,4
"9252",2,1,"NO",1,"YES",NA,2,5
"9253",1,1,"NO",1,"YES",NA,2,5
"9254",1,1,"YES",NA,"YES",NA,1,5
"9255",2,1,"YES",NA,"YES",NA,1,3
"9256",2,1,"YES",NA,"YES",NA,1,5
"9257",2,2,"YES",NA,"YES",NA,1,6
"9258",2,2,"YES",NA,"YES",NA,1,4
"9259",2,2,"YES",NA,"YES",NA,1,3
"9260",2,2,"YES",NA,"YES",NA,1,4
"9261",2,2,"YES",NA,"YES",NA,1,5
"9262",2,2,"YES",NA,"YES",NA,2,3
"9263",1,2,"YES",NA,"YES",NA,2,4
"9264",2,2,"NO",1,"YES",NA,1,5
"9265",2,2,"NO",1,"YES",NA,1,4
"9266",2,2,"NO",1,"YES",NA,1,4
"9267",2,2,"YES",NA,"NO",2,2,3
"9268",2,2,"YES",NA,"NO",2,2,4
"9269",2,2,"YES",NA,"YES",NA,1,4
"9270",1,1,"YES",NA,"YES",NA,2,4
"9271",1,1,"YES",NA,"YES",NA,2,4
"9272",1,2,"YES",NA,"YES",NA,1,7
"9273",1,2,"YES",NA,"YES",NA,1,6
"9274",2,1,"YES",NA,"YES",NA,2,5
"9275",2,1,"YES",NA,"YES",NA,2,6
"9276",NA,1,"NO",1,"NO",1,2,NA
"9277",1,1,"NO",1,"NO",1,2,4
"9278",1,1,"NO",1,"NO",1,2,7
"9279",1,2,"NO",2,"YES",NA,1,7
"9280",2,2,"NO",2,"YES",NA,1,5
"9281",2,2,"YES",NA,"YES",NA,1,7
"9282",1,2,"NO",1,"NO",1,1,3
"9283",1,2,"NO",2,"YES",NA,1,7
"9284",2,1,"NO",1,"YES",NA,2,5
"9285",2,1,"NO",1,"YES",NA,2,5
"9286",2,1,"YES",NA,"YES",NA,2,4
"9287",1,2,"YES",NA,"YES",NA,1,5
"9288",2,2,"YES",NA,"YES",NA,1,6
"9289",2,2,"YES",NA,"YES",NA,1,6
"9290",2,1,"YES",NA,"YES",NA,1,6
"9291",2,1,"YES",NA,"YES",NA,1,5
"9292",2,1,"NO",1,"YES",NA,2,3
"9293",1,1,"YES",NA,"YES",NA,1,7
"9294",1,2,"YES",NA,"NO",1,2,5
"9295",2,1,"NO",1,"YES",NA,2,5
"9296",2,1,"NO",1,"YES",NA,2,6
"9297",1,1,"NO",1,"NO",1,2,5
"9298",1,2,"YES",NA,"YES",NA,1,6
"9299",2,2,"NO",1,"YES",NA,1,5
"9300",1,2,"NO",2,"YES",NA,1,6
"9301",NA,2,"NO",2,"YES",NA,1,NA
"9302",1,2,"YES",NA,"YES",NA,1,7
"9303",2,2,"YES",NA,"NO",2,2,3
"9304",2,2,"YES",NA,"NO",2,2,5
"9305",1,2,"YES",NA,"YES",NA,1,5
"9306",1,2,"YES",NA,"YES",NA,1,5
"9307",1,2,"YES",NA,"YES",NA,2,6
"9308",1,2,"YES",NA,"YES",NA,2,5
"9309",1,1,"YES",NA,"YES",NA,1,6
"9310",1,2,"YES",NA,"YES",NA,2,5
"9311",2,2,"YES",NA,"YES",NA,2,5
"9312",2,2,"YES",NA,"YES",NA,2,6
"9313",2,2,"YES",NA,"YES",NA,2,6
"9314",1,2,"YES",NA,"YES",NA,1,7
"9315",2,2,"YES",NA,"YES",NA,1,3
"9316",2,2,"YES",NA,"YES",NA,1,6
"9317",2,1,"NO",1,"YES",NA,2,2
