"","JLKMOVE","JHSPRBQ","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JLFSATO"
"1",1,2,"YES",NA,"YES",NA,1,6
"2",1,2,"YES",NA,"YES",NA,1,5
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA
"5",1,2,"NO",2,"YES",NA,1,5
"6",1,2,"NO",2,"YES",NA,1,6
"7",1,2,"NO",2,"YES",NA,1,1
"8",NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,"YES",NA,"NO",2,1,6
"10",1,1,"YES",NA,"NO",2,1,5
"11",1,1,"YES",NA,"NO",2,1,6
"12",2,2,"YES",NA,"YES",NA,1,6
"13",1,1,"YES",NA,"YES",NA,1,4
"14",NA,1,"YES",NA,"YES",NA,1,NA
"15",NA,2,"YES",NA,"YES",NA,1,NA
"16",1,2,"YES",NA,"YES",NA,1,5
"17",1,2,"NO",2,"YES",NA,2,7
"18",1,1,"NO",2,"YES",NA,1,7
"19",2,2,"YES",NA,"YES",NA,1,6
"20",2,2,"YES",NA,"YES",NA,1,6
"21",1,2,"YES",NA,"YES",NA,1,5
"22",2,2,"YES",NA,"YES",NA,1,5
"23",1,2,"NO",1,"YES",NA,1,7
"24",2,1,"YES",NA,"YES",NA,1,4
"25",1,1,"YES",NA,"YES",NA,1,3
"26",2,2,"YES",NA,"YES",NA,1,5
"27",1,2,"YES",NA,"YES",NA,1,5
"28",1,2,"YES",NA,"YES",NA,1,5
"29",1,2,"NO",1,"YES",NA,1,5
"30",1,2,"NO",1,"YES",NA,1,4
"31",1,1,"NO",1,"YES",NA,1,1
"32",2,1,"NO",1,"YES",NA,1,3
"33",2,2,"NO",1,"YES",NA,2,4
"34",2,2,"NO",1,"YES",NA,2,3
"35",2,2,"NO",1,"YES",NA,2,4
"36",1,2,"YES",NA,"YES",NA,1,7
"37",NA,2,"YES",NA,"YES",NA,1,NA
"38",1,2,"YES",NA,"YES",NA,1,6
"39",1,2,"YES",NA,"YES",NA,1,4
"40",2,2,"YES",NA,"YES",NA,1,3
"41",2,2,"YES",NA,"YES",NA,1,5
"42",1,2,"NO",1,"YES",NA,1,6
"43",1,2,"NO",1,"YES",NA,1,5
"44",1,2,"NO",1,"YES",NA,1,3
"45",2,2,"YES",NA,"YES",NA,1,5
"46",2,2,"YES",NA,"YES",NA,1,6
"47",1,2,"YES",NA,"YES",NA,1,5
"48",1,2,"YES",NA,"YES",NA,1,6
"49",1,2,"YES",NA,"YES",NA,1,7
"50",2,2,"YES",NA,"YES",NA,1,6
"51",2,2,"YES",NA,"YES",NA,1,5
"52",1,2,"YES",NA,"YES",NA,1,5
"53",1,2,"YES",NA,"NO",2,2,6
"54",1,2,"NO",2,"YES",NA,2,1
"55",1,2,"YES",NA,"YES",NA,2,7
"56",1,2,"YES",NA,"YES",NA,2,6
"57",2,1,"NO",1,"YES",NA,2,2
"58",2,2,"YES",NA,"YES",NA,1,5
"59",2,2,"YES",NA,"YES",NA,1,5
"60",1,1,"YES",NA,"YES",NA,1,1
"61",2,1,"YES",NA,"YES",NA,1,4
"62",1,1,"YES",NA,"YES",NA,1,5
"63",2,2,"YES",NA,"YES",NA,2,4
"64",1,2,"YES",NA,"YES",NA,2,7
"65",1,1,"YES",NA,"YES",NA,1,4
"66",1,2,"YES",NA,"YES",NA,2,6
"67",1,2,"YES",NA,"YES",NA,1,2
"68",1,2,"YES",NA,"YES",NA,2,2
"69",2,2,"YES",NA,"YES",NA,1,6
"70",NA,2,"YES",NA,"YES",NA,1,NA
"71",2,2,"YES",NA,"YES",NA,1,6
"72",2,1,"NO",1,"YES",NA,2,6
"73",NA,2,"NO",2,"YES",NA,1,NA
"74",2,2,"NO",2,"YES",NA,1,2
"75",1,2,"YES",NA,"YES",NA,1,5
"76",1,2,"YES",NA,"YES",NA,1,6
"77",1,1,"YES",NA,"YES",NA,1,5
"78",NA,1,"YES",NA,"YES",NA,1,NA
"79",2,1,"NO",1,"NO",1,1,4
"80",2,1,"NO",1,"NO",1,1,6
"81",1,1,"YES",NA,"YES",NA,2,6
"82",1,1,"YES",NA,"YES",NA,2,6
"83",2,2,"YES",NA,"YES",NA,1,5
"84",2,2,"YES",NA,"YES",NA,1,5
"85",1,2,"YES",NA,"NO",2,2,5
"86",2,1,"YES",NA,"YES",NA,1,5
"87",2,1,"YES",NA,"YES",NA,1,5
"88",2,1,"YES",NA,"YES",NA,2,4
"89",2,1,"YES",NA,"YES",NA,2,6
"90",1,1,"YES",NA,"YES",NA,2,1
"91",1,2,"NO",2,"YES",NA,2,6
"92",2,2,"NO",2,"YES",NA,2,4
"93",1,1,"NO",1,"YES",NA,2,6
"94",1,1,"NO",1,"YES",NA,2,7
"95",2,2,"YES",NA,"YES",NA,2,4
"96",2,2,"YES",NA,"YES",NA,2,7
"97",2,2,"YES",NA,"YES",NA,2,4
"98",2,2,"YES",NA,"YES",NA,2,5
"99",1,2,"NO",2,"NO",2,2,5
"100",1,1,"YES",NA,"YES",NA,1,6
"101",2,1,"YES",NA,"YES",NA,1,4
"102",2,2,"YES",NA,"YES",NA,2,7
"103",2,1,"NO",1,"YES",NA,1,5
"104",2,1,"NO",1,"YES",NA,1,4
"105",NA,1,"NO",1,"YES",NA,1,NA
"106",2,2,"NO",1,"NO",1,1,7
"107",2,2,"NO",1,"NO",1,1,1
"108",2,2,"NO",1,"NO",1,1,6
"109",2,2,"NO",1,"NO",1,1,5
"110",1,1,"YES",NA,"YES",NA,2,7
"111",1,1,"YES",NA,"YES",NA,2,6
"112",1,2,"NO",1,"YES",NA,2,5
"113",1,2,"NO",1,"YES",NA,2,5
"114",2,2,"NO",1,"YES",NA,2,6
"115",1,2,"NO",1,"YES",NA,2,4
"116",1,2,"NO",2,"NO",1,2,4
"117",2,1,"YES",NA,"YES",NA,1,7
"118",2,1,"YES",NA,"YES",NA,1,7
"119",2,1,"YES",NA,"YES",NA,1,4
"120",1,2,"YES",NA,"NO",2,1,5
"121",1,2,"YES",NA,"NO",2,1,7
"122",1,2,"YES",NA,"NO",2,1,4
"123",1,2,"YES",NA,"NO",2,1,6
"124",1,2,"YES",NA,"NO",2,1,7
"125",2,1,"NO",2,"YES",NA,1,4
"126",2,2,"NO",2,"YES",NA,2,4
"127",1,1,"YES",NA,"YES",NA,2,6
"128",1,1,"YES",NA,"YES",NA,2,6
"129",1,2,"YES",NA,"YES",NA,2,6
"130",2,2,"NO",2,"YES",NA,1,5
"131",1,1,"NO",2,"YES",NA,2,5
"132",2,1,"NO",2,"YES",NA,2,5
"133",2,2,"NO",2,"NO",2,1,3
"134",NA,2,"NO",2,"NO",2,1,NA
"135",1,2,"YES",NA,"YES",NA,1,4
"136",1,2,"YES",NA,"YES",NA,1,5
"137",1,2,"YES",NA,"YES",NA,1,5
"138",1,2,"YES",NA,"YES",NA,1,5
"139",1,2,"YES",NA,"YES",NA,1,6
"140",1,2,"NO",2,"YES",NA,1,5
"141",1,2,"NO",2,"YES",NA,1,6
"142",1,2,"YES",NA,"YES",NA,1,5
"143",1,2,"YES",NA,"YES",NA,1,6
"144",1,2,"YES",NA,"YES",NA,1,6
"145",1,2,"YES",NA,"YES",NA,1,7
"146",1,2,"YES",NA,"YES",NA,1,4
"147",1,2,"YES",NA,"YES",NA,1,5
"148",1,2,"YES",NA,"YES",NA,1,3
"149",2,2,"YES",NA,"YES",NA,1,4
"150",1,2,"YES",NA,"YES",NA,1,5
"151",1,2,"YES",NA,"YES",NA,1,5
"152",2,2,"YES",NA,"YES",NA,1,6
"153",2,2,"YES",NA,"YES",NA,1,6
"154",1,2,"YES",NA,"YES",NA,1,7
"155",1,2,"YES",NA,"YES",NA,1,5
"156",1,2,"YES",NA,"YES",NA,1,5
"157",1,2,"YES",NA,"YES",NA,1,5
"158",2,2,"YES",NA,"YES",NA,1,6
"159",1,2,"YES",NA,"YES",NA,1,5
"160",1,2,"YES",NA,"YES",NA,1,6
"161",NA,2,"YES",NA,"YES",NA,1,NA
"162",2,2,"YES",NA,"YES",NA,1,4
"163",1,2,"YES",NA,"YES",NA,1,6
"164",1,2,"YES",NA,"YES",NA,1,5
"165",1,2,"YES",NA,"YES",NA,1,3
"166",1,2,"YES",NA,"YES",NA,1,2
"167",1,1,"YES",NA,"YES",NA,1,5
"168",NA,2,"YES",NA,"YES",NA,2,NA
"169",1,2,"YES",NA,"YES",NA,2,6
"170",NA,2,"YES",NA,"YES",NA,1,NA
"171",1,2,"YES",NA,"YES",NA,1,5
"172",1,1,"YES",NA,"YES",NA,1,6
"173",1,2,"YES",NA,"YES",NA,1,5
"174",1,2,"YES",NA,"YES",NA,1,5
"175",1,1,"NO",1,"YES",NA,2,3
"176",1,1,"NO",1,"YES",NA,2,3
"177",1,1,"NO",1,"YES",NA,2,5
"178",1,2,"NO",2,"YES",NA,2,6
"179",1,2,"NO",2,"YES",NA,2,NA
"180",2,2,"YES",NA,"YES",NA,1,5
"181",2,2,"YES",NA,"YES",NA,1,4
"182",1,2,"YES",NA,"YES",NA,1,5
"183",1,2,"YES",NA,"YES",NA,1,6
"184",2,1,"YES",NA,"YES",NA,1,6
"185",2,2,"NO",1,"NO",1,2,1
"186",1,2,"YES",NA,"YES",NA,1,6
"187",1,2,"YES",NA,"YES",NA,1,5
"188",2,2,"YES",NA,"YES",NA,2,5
"189",1,2,"YES",NA,"YES",NA,2,6
"190",NA,2,"YES",NA,"YES",NA,2,NA
"191",2,2,"YES",NA,"YES",NA,2,4
"192",1,2,"YES",NA,"YES",NA,1,7
"193",1,2,"YES",NA,"YES",NA,1,4
"194",1,2,"YES",NA,"YES",NA,1,2
"195",NA,2,"YES",NA,"YES",NA,1,NA
"196",1,2,"YES",NA,"YES",NA,1,5
"197",NA,2,"YES",NA,"YES",NA,1,NA
"198",1,2,"YES",NA,"YES",NA,1,5
"199",2,1,"YES",NA,"YES",NA,1,7
"200",2,2,"YES",NA,"YES",NA,1,5
"201",1,2,"YES",NA,"NO",1,2,6
"202",1,2,"NO",2,"YES",NA,2,5
"203",1,2,"YES",NA,"YES",NA,1,6
"204",1,2,"YES",NA,"YES",NA,1,6
"205",1,2,"YES",NA,"YES",NA,1,4
"206",2,2,"YES",NA,"YES",NA,1,4
"207",2,1,"YES",NA,"NO",1,2,5
"208",2,1,"YES",NA,"NO",1,2,6
"209",1,1,"YES",NA,"YES",NA,2,3
"210",2,1,"YES",NA,"YES",NA,2,6
"211",2,1,"YES",NA,"YES",NA,2,6
"212",1,1,"YES",NA,"YES",NA,2,5
"213",1,1,"NO",2,"NO",2,2,6
"214",2,1,"NO",2,"NO",2,2,5
"215",1,1,"NO",2,"NO",2,2,6
"216",1,2,"NO",2,"YES",NA,2,4
"217",1,2,"NO",2,"YES",NA,2,5
"218",2,2,"NO",2,"YES",NA,2,3
"219",2,2,"YES",NA,"YES",NA,1,NA
"220",1,2,"YES",NA,"YES",NA,1,3
"221",1,1,"NO",2,"YES",NA,2,5
"222",1,2,"NO",2,"YES",NA,1,6
"223",1,2,"YES",NA,"YES",NA,1,6
"224",1,2,"YES",NA,"YES",NA,1,6
"225",1,2,"YES",NA,"NO",2,2,5
"226",1,2,"YES",NA,"NO",2,2,6
"227",2,2,"YES",NA,"NO",2,2,6
"228",1,2,"YES",NA,"NO",2,2,7
"229",1,2,"YES",NA,"YES",NA,1,4
"230",1,2,"YES",NA,"YES",NA,1,6
"231",1,2,"YES",NA,"YES",NA,2,6
"232",1,2,"YES",NA,"YES",NA,2,6
"233",1,2,"YES",NA,"YES",NA,2,6
"234",1,1,"YES",NA,"YES",NA,1,6
"235",2,1,"YES",NA,"YES",NA,1,5
"236",1,1,"YES",NA,"YES",NA,1,6
"237",1,2,"YES",NA,"YES",NA,1,5
"238",1,2,"NO",2,"YES",NA,2,7
"239",1,2,"NO",2,"YES",NA,2,5
"240",2,2,"YES",NA,"YES",NA,1,3
"241",1,2,"NO",2,"YES",NA,2,5
"242",1,2,"YES",NA,"YES",NA,1,6
"243",1,1,"YES",NA,"YES",NA,2,5
"244",1,1,"YES",NA,"YES",NA,2,5
"245",1,2,"YES",NA,"YES",NA,1,5
"246",1,2,"YES",NA,"YES",NA,1,6
"247",2,2,"YES",NA,"YES",NA,1,5
"248",2,2,"YES",NA,"YES",NA,1,NA
"249",2,2,"YES",NA,"YES",NA,1,4
"250",2,2,"YES",NA,"YES",NA,1,5
"251",1,2,"YES",NA,"YES",NA,1,5
"252",1,1,"NO",2,"YES",NA,2,4
"253",1,2,"YES",NA,"YES",NA,1,6
"254",1,2,"YES",NA,"YES",NA,1,6
"255",2,1,"NO",1,"YES",NA,2,4
"256",2,1,"NO",1,"YES",NA,2,4
"257",1,1,"NO",1,"YES",NA,2,4
"258",1,2,"YES",NA,"YES",NA,1,6
"259",1,2,"YES",NA,"YES",NA,1,5
"260",1,2,"YES",NA,"YES",NA,1,6
"261",1,1,"NO",2,"NO",1,1,NA
"262",1,1,"NO",2,"NO",1,1,4
"263",1,2,"YES",NA,"YES",NA,1,6
"264",1,2,"YES",NA,"YES",NA,1,7
"265",1,2,"YES",NA,"YES",NA,1,4
"266",1,2,"YES",NA,"YES",NA,1,3
"267",1,2,"NO",2,"YES",NA,1,6
"268",1,2,"YES",NA,"YES",NA,1,5
"269",2,2,"NO",1,"NO",1,1,6
"270",1,2,"YES",NA,"YES",NA,1,4
"271",1,2,"YES",NA,"YES",NA,1,5
"272",1,2,"YES",NA,"YES",NA,1,5
"273",1,2,"YES",NA,"YES",NA,1,5
"274",1,2,"YES",NA,"YES",NA,1,5
"275",1,2,"YES",NA,"YES",NA,1,5
"276",1,2,"YES",NA,"YES",NA,1,7
"277",1,2,"YES",NA,"YES",NA,1,5
"278",NA,NA,NA,NA,NA,NA,NA,NA
"279",1,1,"YES",NA,"YES",NA,1,4
"280",1,1,"YES",NA,"YES",NA,1,4
"281",1,1,"YES",NA,"YES",NA,1,5
"282",NA,1,"YES",NA,"YES",NA,1,NA
"283",NA,NA,NA,NA,NA,NA,NA,NA
"284",NA,NA,NA,NA,NA,NA,NA,NA
"285",NA,NA,NA,NA,NA,NA,NA,NA
"286",1,2,"YES",NA,"YES",NA,1,7
"287",NA,2,"YES",NA,"YES",NA,1,NA
"288",2,2,"NO",1,"YES",NA,1,6
"289",1,2,"NO",1,"YES",NA,1,4
"290",2,2,"NO",1,"YES",NA,1,5
"291",1,2,"NO",2,"YES",NA,2,6
"292",1,2,"YES",NA,"YES",NA,1,4
"293",1,2,"YES",NA,"YES",NA,1,7
"294",1,2,"YES",NA,"YES",NA,1,6
"295",1,2,"YES",NA,"YES",NA,1,6
"296",1,2,"YES",NA,"YES",NA,1,6
"297",1,2,"YES",NA,"YES",NA,1,7
"298",1,2,"YES",NA,"YES",NA,1,4
"299",1,2,"YES",NA,"YES",NA,1,5
"300",1,2,"YES",NA,"YES",NA,1,6
"301",1,2,"YES",NA,"YES",NA,1,4
"302",1,2,"YES",NA,"YES",NA,1,5
"303",1,2,"YES",NA,"YES",NA,1,5
"304",1,2,"YES",NA,"YES",NA,1,4
"305",1,2,"YES",NA,"YES",NA,1,5
"306",2,2,"YES",NA,"YES",NA,1,4
"307",2,2,"YES",NA,"YES",NA,1,6
"308",2,2,"YES",NA,"YES",NA,1,6
"309",2,2,"YES",NA,"YES",NA,1,6
"310",2,2,"YES",NA,"YES",NA,1,6
"311",1,2,"YES",NA,"YES",NA,1,7
"312",1,2,"YES",NA,"YES",NA,1,4
"313",2,2,"YES",NA,"YES",NA,1,5
"314",2,2,"YES",NA,"YES",NA,1,6
"315",1,2,"YES",NA,"YES",NA,1,6
"316",1,2,"YES",NA,"YES",NA,1,4
"317",2,2,"YES",NA,"YES",NA,1,6
"318",NA,2,"YES",NA,"YES",NA,1,6
"319",2,2,"YES",NA,"YES",NA,1,5
"320",1,2,"YES",NA,"YES",NA,1,5
"321",1,2,"YES",NA,"YES",NA,1,6
"322",1,2,"YES",NA,"YES",NA,1,6
"323",2,2,"YES",NA,"YES",NA,1,5
"324",2,2,"YES",NA,"YES",NA,1,7
"325",1,1,"YES",NA,"YES",NA,1,3
"326",2,2,"YES",NA,"YES",NA,1,7
"327",1,2,"YES",NA,"YES",NA,1,6
"328",1,2,"YES",NA,"YES",NA,1,6
"329",1,1,"YES",NA,"NO",2,1,6
"330",2,2,"NO",2,"YES",NA,2,6
"331",2,2,"NO",2,"YES",NA,2,2
"332",1,2,"YES",NA,"YES",NA,2,7
"333",1,2,"YES",NA,"YES",NA,2,6
"334",NA,2,"NO",2,"NO",2,2,NA
"335",1,2,"NO",2,"NO",2,2,NA
"336",1,2,"NO",1,"NO",2,1,7
"337",1,2,"YES",NA,"YES",NA,1,5
"338",1,2,"YES",NA,"YES",NA,2,4
"339",2,2,"YES",NA,"YES",NA,1,4
"340",1,2,"YES",NA,"YES",NA,1,5
"341",2,2,"NO",2,"YES",NA,2,4
"342",1,2,"NO",2,"YES",NA,2,4
"343",NA,1,"YES",NA,"YES",NA,1,NA
"344",2,1,"YES",NA,"YES",NA,1,3
"345",1,2,"YES",NA,"YES",NA,2,4
"346",1,2,"YES",NA,"YES",NA,2,6
"347",1,2,"YES",NA,"YES",NA,1,5
"348",2,2,"YES",NA,"YES",NA,1,4
"349",2,2,"YES",NA,"YES",NA,1,5
"350",1,2,"YES",NA,"YES",NA,1,6
"351",1,2,"YES",NA,"YES",NA,1,4
"352",2,2,"YES",NA,"YES",NA,1,6
"353",1,2,"YES",NA,"YES",NA,1,4
"354",2,2,"YES",NA,"NO",2,1,4
"355",2,1,"YES",NA,"YES",NA,2,3
"356",1,1,"YES",NA,"YES",NA,2,7
"357",NA,2,"YES",NA,"YES",NA,1,6
"358",2,1,"YES",NA,"YES",NA,1,5
"359",2,1,"YES",NA,"YES",NA,1,6
"360",2,2,"NO",2,"YES",NA,2,4
"361",2,2,"NO",2,"YES",NA,2,3
"362",2,2,"NO",2,"YES",NA,2,4
"363",1,2,"NO",2,"YES",NA,2,6
"364",2,1,"YES",NA,"YES",NA,1,5
"365",1,2,"NO",2,"YES",NA,1,7
"366",1,2,"NO",2,"YES",NA,1,6
"367",1,2,"YES",NA,"YES",NA,2,6
"368",1,2,"YES",NA,"YES",NA,2,6
"369",2,1,"YES",NA,"YES",NA,1,6
"370",1,2,"YES",NA,"YES",NA,1,5
"371",1,2,"YES",NA,"YES",NA,1,5
"372",1,1,"YES",NA,"YES",NA,1,5
"373",2,2,"YES",NA,"YES",NA,1,6
"374",1,2,"YES",NA,"YES",NA,1,7
"375",2,2,"YES",NA,"YES",NA,1,5
"376",1,2,"YES",NA,"YES",NA,1,5
"377",2,2,"YES",NA,"YES",NA,1,4
"378",2,2,"YES",NA,"YES",NA,1,5
"379",2,2,"YES",NA,"YES",NA,1,5
"380",2,2,"YES",NA,"YES",NA,1,3
"381",1,2,"YES",NA,"YES",NA,1,7
"382",1,2,"YES",NA,"YES",NA,1,6
"383",1,2,"YES",NA,"YES",NA,1,6
"384",2,2,"YES",NA,"YES",NA,2,7
"385",1,2,"YES",NA,"YES",NA,2,5
"386",1,2,"NO",1,"YES",NA,2,3
"387",1,2,"NO",1,"YES",NA,2,6
"388",1,2,"NO",1,"YES",NA,2,7
"389",1,1,"YES",NA,"YES",NA,1,6
"390",2,1,"YES",NA,"YES",NA,1,5
"391",2,1,"YES",NA,"YES",NA,2,6
"392",2,1,"YES",NA,"YES",NA,2,5
"393",1,2,"YES",NA,"YES",NA,2,6
"394",2,2,"YES",NA,"YES",NA,2,4
"395",2,2,"YES",NA,"YES",NA,2,5
"396",2,2,"YES",NA,"YES",NA,2,6
"397",1,2,"YES",NA,"YES",NA,2,6
"398",1,1,"YES",NA,"YES",NA,1,6
"399",1,1,"YES",NA,"YES",NA,1,5
"400",1,2,"YES",NA,"YES",NA,1,5
"401",2,2,"YES",NA,"YES",NA,1,4
"402",1,2,"YES",NA,"YES",NA,1,6
"403",1,2,"YES",NA,"YES",NA,1,6
"404",1,2,"YES",NA,"YES",NA,1,6
"405",2,2,"NO",1,"YES",NA,2,3
"406",1,2,"YES",NA,"YES",NA,1,5
"407",1,2,"YES",NA,"YES",NA,1,6
"408",1,2,"NO",2,"YES",NA,1,5
"409",1,2,"NO",2,"YES",NA,1,NA
"410",1,2,"NO",1,"YES",NA,2,6
"411",1,2,"NO",1,"YES",NA,2,6
"412",NA,1,"NO",2,"YES",NA,1,NA
"413",2,1,"NO",2,"YES",NA,1,7
"414",NA,1,"NO",2,"YES",NA,1,NA
"415",1,1,"YES",NA,"YES",NA,1,5
"416",1,1,"YES",NA,"YES",NA,1,5
"417",1,1,"YES",NA,"YES",NA,1,6
"418",1,2,"NO",1,"NO",2,2,4
"419",2,1,"YES",NA,"YES",NA,1,6
"420",2,1,"YES",NA,"YES",NA,1,6
"421",NA,NA,NA,NA,NA,NA,NA,NA
"422",NA,2,"YES",NA,"YES",NA,1,NA
"423",2,2,"YES",NA,"YES",NA,1,5
"424",1,2,"YES",NA,"YES",NA,1,4
"425",1,2,"YES",NA,"YES",NA,1,3
"426",2,2,"YES",NA,"YES",NA,1,5
"427",2,2,"YES",NA,"YES",NA,1,5
"428",2,1,"NO",1,"YES",NA,1,4
"429",2,1,"NO",1,"YES",NA,1,4
"430",1,2,"YES",NA,"YES",NA,1,3
"431",2,2,"YES",NA,"YES",NA,1,6
"432",2,2,"YES",NA,"YES",NA,1,7
"433",1,2,"NO",1,"YES",NA,1,2
"434",2,2,"NO",1,"YES",NA,1,3
"435",NA,2,"YES",NA,"YES",NA,1,NA
"436",1,2,"YES",NA,"YES",NA,1,4
"437",2,2,"YES",NA,"YES",NA,1,6
"438",2,2,"YES",NA,"YES",NA,1,5
"439",2,2,"NO",2,"YES",NA,1,6
"440",1,2,"NO",2,"YES",NA,1,5
"441",2,2,"YES",NA,"YES",NA,1,6
"442",1,2,"YES",NA,"YES",NA,1,6
"443",NA,NA,NA,NA,NA,NA,NA,NA
"444",NA,NA,NA,NA,NA,NA,NA,NA
"445",2,2,"YES",NA,"YES",NA,2,5
"446",NA,2,"YES",NA,"YES",NA,2,NA
"447",1,2,"YES",NA,"YES",NA,1,5
"448",1,2,"YES",NA,"YES",NA,1,6
"449",1,2,"YES",NA,"YES",NA,1,6
"450",2,2,"YES",NA,"YES",NA,1,5
"451",2,2,"NO",NA,"YES",NA,2,6
"452",NA,2,"YES",NA,"YES",NA,1,NA
"453",1,2,"YES",NA,"YES",NA,1,6
"454",2,2,"YES",NA,"YES",NA,1,5
"455",NA,NA,NA,NA,NA,NA,NA,NA
"456",NA,NA,NA,NA,NA,NA,NA,NA
"457",1,2,"YES",NA,"YES",NA,1,7
"458",NA,2,"YES",NA,"YES",NA,1,6
"459",NA,2,"YES",NA,"YES",NA,1,5
"460",1,2,"YES",NA,"YES",NA,1,6
"461",2,2,"NO",1,"YES",NA,2,3
"462",2,2,"NO",1,"YES",NA,2,6
"463",1,2,"NO",1,"YES",NA,2,4
"464",2,1,"YES",NA,"YES",NA,1,6
"465",NA,1,"YES",NA,"YES",NA,1,7
"466",1,2,"YES",NA,"YES",NA,2,7
"467",1,2,"NO",2,"YES",NA,1,7
"468",1,2,"NO",2,"YES",NA,2,7
"469",1,2,"YES",NA,"YES",NA,1,NA
"470",1,2,"YES",NA,"YES",NA,1,NA
"471",1,2,"YES",NA,"YES",NA,1,5
"472",1,2,"YES",NA,"YES",NA,1,6
"473",1,2,"YES",NA,"YES",NA,1,5
"474",2,2,"YES",NA,"NO",1,1,6
"475",2,2,"YES",NA,"NO",1,1,4
"476",NA,2,"YES",NA,"YES",NA,2,NA
"477",1,2,"YES",NA,"YES",NA,2,3
"478",1,2,"YES",NA,"YES",NA,2,6
"479",2,2,"YES",NA,"YES",NA,2,5
"480",1,2,"YES",NA,"YES",NA,2,5
"481",1,2,"YES",NA,"YES",NA,1,6
"482",1,2,"YES",NA,"YES",NA,1,5
"483",1,2,"YES",NA,"YES",NA,2,6
"484",1,2,"YES",NA,"YES",NA,2,7
"485",1,2,"YES",NA,"YES",NA,1,5
"486",1,1,"NO",2,"YES",NA,2,NA
"487",1,2,"YES",NA,"YES",NA,1,5
"488",1,2,"YES",NA,"YES",NA,1,5
"489",1,2,"YES",NA,"YES",NA,1,6
"490",1,2,"YES",NA,"YES",NA,1,5
"491",1,1,"NO",2,"NO",2,2,5
"492",2,1,"NO",2,"NO",2,2,4
"493",1,2,"YES",NA,"YES",NA,2,5
"494",1,2,"NO",2,"YES",NA,1,6
"495",1,2,"NO",2,"YES",NA,1,5
"496",2,2,"NO",2,"YES",NA,1,6
"497",1,2,"NO",2,"YES",NA,1,6
"498",NA,1,"YES",NA,"YES",NA,1,NA
"499",1,1,"YES",NA,"YES",NA,1,4
"500",1,1,"YES",NA,"YES",NA,1,6
"501",1,1,"YES",NA,"YES",NA,1,6
"502",NA,NA,NA,NA,NA,NA,NA,NA
"503",2,2,"YES",NA,"YES",NA,1,5
"504",1,2,"YES",NA,"YES",NA,1,NA
"505",1,1,"NO",2,"YES",NA,2,5
"506",1,1,"NO",2,"YES",NA,1,7
"507",1,2,"NO",1,"NO",2,1,5
"508",1,2,"NO",1,"NO",2,1,7
"509",1,2,"YES",NA,"YES",NA,1,7
"510",1,2,"YES",NA,"YES",NA,1,6
"511",1,2,"YES",NA,"YES",NA,1,6
"512",NA,2,"YES",NA,"YES",NA,1,5
"513",1,1,"NO",2,"YES",NA,2,7
"514",NA,1,"NO",2,"YES",NA,2,NA
"515",1,2,"YES",NA,"YES",NA,1,7
"516",1,1,"NO",2,"YES",NA,1,4
"517",2,2,"YES",NA,"YES",NA,2,NA
"518",2,2,"YES",NA,"YES",NA,2,7
"519",1,2,"YES",NA,"YES",NA,1,6
"520",1,2,"YES",NA,"YES",NA,1,5
"521",1,2,"YES",NA,"YES",NA,1,5
"522",1,2,"YES",NA,"YES",NA,1,6
"523",2,1,"YES",NA,"YES",NA,1,6
"524",2,1,"YES",NA,"YES",NA,1,4
"525",2,1,"YES",NA,"YES",NA,1,4
"526",NA,NA,NA,NA,NA,NA,NA,NA
"527",1,1,"YES",NA,"YES",NA,2,7
"528",2,2,"YES",NA,"YES",NA,1,5
"529",2,2,"YES",NA,"YES",NA,1,7
"530",1,2,"YES",NA,"YES",NA,1,6
"531",1,2,"YES",NA,"YES",NA,1,4
"532",1,2,"YES",NA,"YES",NA,1,4
"533",1,2,"YES",NA,"YES",NA,1,6
"534",NA,2,"YES",NA,"YES",NA,1,6
"535",1,2,"YES",NA,"YES",NA,1,4
"536",1,2,"YES",NA,"YES",NA,1,6
"537",1,2,"YES",NA,"NO",1,1,6
"538",1,2,"YES",NA,"YES",NA,1,6
"539",1,2,"YES",NA,"YES",NA,2,7
"540",1,2,"NO",2,"YES",NA,1,5
"541",NA,2,"YES",NA,"YES",NA,2,5
"542",2,1,"YES",NA,"NO",2,1,5
"543",2,1,"YES",NA,"NO",2,1,4
"544",1,2,"NO",2,"YES",NA,2,5
"545",1,2,"YES",NA,"YES",NA,2,6
"546",2,2,"YES",NA,"YES",NA,2,3
"547",2,1,"YES",NA,"YES",NA,1,5
"548",2,1,"YES",NA,"YES",NA,1,5
"549",1,1,"YES",NA,"YES",NA,1,5
"550",2,2,"YES",NA,"YES",NA,1,6
"551",2,2,"YES",NA,"YES",NA,1,7
"552",1,2,"YES",NA,"YES",NA,1,7
"553",2,2,"YES",NA,"YES",NA,1,7
"554",2,1,"YES",NA,"YES",NA,1,6
"555",2,1,"YES",NA,"YES",NA,1,5
"556",2,1,"YES",NA,"YES",NA,1,5
"557",1,1,"YES",NA,"YES",NA,1,7
"558",1,2,"YES",NA,"YES",NA,1,5
"559",1,2,"YES",NA,"YES",NA,1,7
"560",2,2,"YES",NA,"YES",NA,1,3
